buildingID:ID,buildingType,yearBuilt:int,addressStreet,:LABEL
B001,Residential,1978,Sonnenweg 12,Building
B002,Office,2012,Industriestrasse 5,Building
B003,Mixed,1995,Altstadtgasse 7,Building
B004,Residential,1965,Kellerweg 1,Building
B005,Office,1935,Strasse C-5,Building
B006,Commercial,1961,Strasse B-6,Building
B007,Residential,1966,Strasse A-7,Building
B008,School,1975,Schulhausstrasse 1,Building
B009,Office,1939,Strasse A-9,Building
B010,Commercial,1913,Strasse C-10,Building
B011,Commercial,1945,Strasse B-11,Building
B012,Office,1913,Strasse B-12,Building
B013,Industrial,2021,Strasse B-13,Building
B014,Commercial,1970,Strasse A-14,Building
B015,School,1932,Strasse A-15,Building
B016,Public,1941,Strasse C-16,Building
B017,School,1939,Strasse A-17,Building
B018,Industrial,1903,Strasse B-18,Building
B019,Public,1998,Strasse C-19,Building
B020,Mixed,1935,Strasse B-20,Building
B021,Residential,1999,Strasse C-21,Building
B022,School,1932,Strasse C-22,Building
B023,Residential,2017,Strasse B-23,Building
B024,Residential,1903,Strasse B-24,Building
B025,Office,1966,Strasse C-25,Building
B026,Public,1982,Strasse A-26,Building
B027,Office,2011,Strasse C-27,Building
B028,Commercial,1920,Strasse C-28,Building
B029,School,2018,Strasse B-29,Building
B030,Commercial,2010,Strasse B-30,Building
B031,Commercial,1960,Strasse B-31,Building
B032,Mixed,1995,Strasse B-32,Building
B033,School,1975,Strasse C-33,Building
B034,Commercial,1996,Strasse B-34,Building
B035,Residential,2003,Strasse B-35,Building
B036,Public,1979,Strasse C-36,Building
B037,Commercial,1969,Strasse C-37,Building
B038,Residential,1937,Strasse B-38,Building
B039,Commercial,1941,Strasse C-39,Building
B040,Industrial,2004,Strasse B-40,Building
