permissionID:ID,action,resourceType,description,:LABEL
PERM001,READ,Project,Projektdetails lesen,Permission
PERM002,READ,Document,Dokumente lesen,Permission
PERM003,WRITE,Project,Projekte bearbeiten/erstellen,Permission
PERM004,READ,ClientList,Kundenliste sehen,Permission
PERM005,WRITE,Configuration,Konfiguration ändern,Permission
PERM006,READ,WorkPackage,Arbeitspakete lesen,Permission
PERM007,WRITE,WorkPackage,Arbeitspakete bearbeiten,Permission
PERM008,READ,Funding,Förderdaten lesen,Permission
PERM009,WRITE,Funding,Förderdaten bearbeiten,Permission
PERM010,READ,Certificate,Zertifikate lesen,Permission
PERM011,WRITE,Certificate,Zertifikate erstellen/ändern,Permission
